MOBILE_NAME RATING PRICE RAM SIZE CAMERA  BATTERY PROCESSOR  CHARGE
Redmi Y3 (Elegant Blue| 32 GB),₹8,745₹11,99927% off,,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,

Realme 2 Pro (Black Sea| 64 GB),₹8,999₹13,99035% offNo Cost EMIUpto ₹8,900 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,16MP + 2MP | 16MP Front Camera,3500 mAh Li-ion Battery,

Realme 2 Pro (Black Sea| 64 GB),₹10,999₹15,99031% offNo Cost EMIUpto ₹10,800 Off on Exchange,,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,16MP + 2MP | 16MP Front Camera,3500 mAh Li-ion Battery,

Realme 2 Pro (Blue Ocean| 64 GB),₹8,999₹13,99035% offNo Cost EMIUpto ₹8,900 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,16MP + 2MP | 16MP Front Camera,3500 mAh Li-ion Battery,

Realme 2 Pro (Ice Lake| 64 GB),₹8,999₹13,99035% offNo Cost EMIUpto ₹8,900 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,16MP + 2MP | 16MP Front Camera,3500 mAh Li-ion Battery,

Apple iPhone 7 (Black| 32 GB),₹24,999₹29,90016% offNo Cost EMIUpto ₹10,800 Off on Exchange,,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,

OPPO A3s (Purple| 32 GB),₹7,990₹13,99042% offNo Cost EMIUpto ₹7,700 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery,

OPPO A3s (Red| 32 GB),₹7,990₹13,99042% offNo Cost EMIUpto ₹7,700 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery,

Micromax X741,₹1,035₹2,49958% off,,32 MB RAM | 32 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1750 mAh Battery,

Mi A3 (Not just Blue| 64 GB),₹12,945₹14,99913% off,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.44 cm (6.08 inch) HD Display,48MP + 8MP | 32MP Front Camera,4030 mAh Battery,

Redmi Note 7S (Astro Moonlight White| 64 GB),₹10,999₹13,99921% offNo Cost EMIUpto ₹10,800 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,

Vivo Z1x (Phantom Purple| 128 GB),₹18,990₹20,9909% offNo Cost EMIUpto ₹10,800 Off on Exchange,,6 GB RAM | 128 GB ROM |,16.21 cm (6.38 inch) FHD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,

